Time (msec);..ECT (°C);..IAT (°C);..IGN (°BTDC);..IPW (ms);..Load (mg/stroke);..MAF (kg/h);..RPM (RPM);..TPS (%);.IACV (%);.IdleFT1 (ms);.LTFT1 (%);.STFT1 (%);.V_MAF (VDC);V_O2_Front #1 (VDC);..Knock (° Cor);Innovate MTS PSB-1 CH3 (PSI);Innovate Wideband AFR (AFR Gasoline)
0;81,2;43,1;8,5;6,670;393,63;220,75;3119;75,3;0,00;0,00;0,14;0,00;2,32;0,45;0,00;0;12,83
81;81,2;43,1;10,7;7,369;433,48;249,75;3204;75,3;0,00;0,00;0,14;0,00;2,40;0,45;0,00;0;12,13
161;81,2;43,1;11,1;7,545;443,48;259,75;3257;75,3;0,00;0,00;0,14;0,00;2,46;0,45;-0,38;0;12,13
242;81,2;43,1;11,1;7,204;422,20;252,75;3329;75,3;0,00;0,00;0,14;0,00;2,42;0,45;-0,38;0;11,77
319;81,2;42,4;11,5;7,903;462,14;281,75;3390;75,3;0,00;0,00;0,14;0,00;2,58;0,45;-0,38;0;11,77
399;81,2;42,4;11,5;7,727;451,37;281,75;3471;75,3;0,00;0,00;0,14;0,00;2,54;0,45;-0,75;0;11,54
480;81,2;42,4;11,5;7,391;431,19;273,75;3530;75,3;0,00;0,00;0,14;0,00;2,58;0,45;0,00;0;11,54
560;81,2;42,4;11,1;8,437;492,74;318,75;3597;75,3;0,00;0,00;0,14;0,00;2,58;0,45;-1,12;0;11,55
642;81,2;42,4;10,3;8,133;473,75;315,75;3706;75,3;0,00;0,00;0,14;0,00;2,64;0,45;-1,12;0;11,55
721;81,2;42,4;10,3;8,368;488,42;329,75;3754;75,3;0,00;0,00;0,14;0,00;2,73;0,45;-1,12;0;11,29
801;81,2;41,6;10,0;7,834;455,52;315,75;3854;75,3;0,00;0,00;0,14;0,00;2,71;0,45;-1,12;0;11,29
880;81,2;41,6;9,6;8,368;487,57;343,75;3920;75,3;0,00;0,00;0,14;0,00;2,69;0,45;-1,50;0;11,25
960;81,2;41,6;9,6;8,555;501,98;356,75;3951;75,3;0,00;0,00;0,14;0,00;2,64;0,45;-1,50;0;11,25
1041;81,2;41,6;9,2;8,549;501,56;367,75;4076;75,3;0,00;0,00;0,14;0,00;2,83;0,45;-0,38;0;10,97
1118;81,2;41,6;8,9;8,448;493,76;367,75;4141;75,3;0,00;0,00;0,14;0,00;2,73;0,45;-0,38;0;10,97
1200;81,2;41,6;8,9;8,565;502,75;379,75;4199;75,3;0,00;0,00;0,14;0,00;2,85;0,45;-0,38;0;11,08
1281;81,2;40,1;8,9;8,961;533,69;412,75;4299;75,3;0,00;0,00;0,14;0,00;2,95;0,45;-0,38;0;11,08
1360;81,2;40,1;8,9;9,217;548,19;431,75;4378;75,3;0,00;0,00;0,14;0,00;2,93;0,45;-0,38;0;11,13
