Time (msec);..ECT (°C);..IAT (°C);..IGN (°BTDC);..IPW (ms);..Load (mg/stroke);..MAF (kg/h);..RPM (RPM);..TPS (%);.IACV (%);.IdleFT1 (ms);.LTFT1 (%);.STFT1 (%);.V_MAF (VDC);V_O2_Front #1 (VDC);..Knock (° Cor);Innovate MTS PSB-1 CH3 (PSI);Innovate Wideband AFR (AFR Gasoline)
0;81,2;46,9;20,8;0,999;68,59;21,75;1780;2,4;0,00;0,00;0,14;2,42;0,88;4,86;0,00;0;20,33
80;81,2;46,9;11,8;0,876;59,09;18,75;1784;2,7;0,00;0,00;0,14;2,64;0,84;4,86;0,00;0;20,33
160;81,2;46,9;13,0;0,934;63,58;19,75;1747;2,7;0,00;0,00;0,14;2,86;0,82;4,86;0,00;0;20,33
241;81,2;46,9;14,8;0,924;62,23;19,75;1784;2,7;0,00;0,00;0,14;3,08;0,80;4,86;0,00;0;20,33
321;81,2;46,9;15,9;0,945;64,01;19,75;1736;2,7;0,00;0,00;0,14;3,30;0,84;4,86;0,00;0;20,33
400;81,2;46,9;17,4;0,881;59,26;18,75;1781;2,7;0,00;0,00;0,14;3,52;0,80;4,86;0,00;0;20,33
480;81,2;46,9;18,9;1,084;73,59;22,75;1736;2,7;0,00;0,00;0,14;3,74;0,88;4,86;0,00;0;20,33
561;81,2;46,9;20,4;0,977;65,79;20,75;1773;2,7;0,00;0,00;0,14;3,96;0,84;4,86;0,00;0;20,33
639;81,2;46,9;13,3;1,031;69,77;21,75;1750;3,5;0,00;0,00;0,14;4,17;0,90;4,86;0,00;0;20,33
721;81,2;46,9;14,1;1,153;77,74;23,75;1715;4,3;0,00;0,00;0,14;4,41;0,90;4,86;0,00;0;20,33
800;81,2;46,9;15,6;1,575;105,89;33,75;1783;5,9;0,00;0,00;0,14;4,67;1,07;4,86;0,00;0;19,30
879;81,2;46,9;16,7;1,687;112,84;36,75;1821;6,3;0,00;0,00;0,14;5,06;1,15;4,86;0,00;0;19,30
960;81,2;46,9;18,2;1,965;130,90;41,75;1782;7,1;0,00;0,00;0,14;5,54;1,17;4,86;0,00;0;16,92
1040;81,2;46,9;19,7;1,949;128,87;39,75;1724;7,1;0,00;0,00;0,14;6,02;1,15;4,86;0,00;0;16,92
1119;81,2;46,9;21,2;1,842;121,49;38,75;1783;7,1;0,00;0,00;0,14;6,46;1,11;4,86;0,00;0;15,19
1200;81,2;46,9;22,3;2,008;132,26;41,75;1764;7,1;0,00;0,00;0,14;6,95;1,13;4,86;0,00;0;15,19
1280;81,2;46,9;23,8;1,821;119,12;37,75;1772;7,1;0,00;0,00;0,14;7,43;1,09;4,86;0,00;0;15,93
1361;81,2;46,9;20,4;2,302;150,74;47,75;1769;9,4;0,00;0,00;0,14;7,90;1,29;4,86;0,00;0;15,93
1442;81,2;46,9;13,3;4,331;260,70;84,75;1811;15,7;0,00;0,00;0,14;8,51;1,62;4,86;0,00;0;16,26
1519;81,2;46,9;11,8;5,789;323,94;106,75;1835;26,3;0,00;0,00;0,14;8,51;1,72;4,86;0,00;0;16,35
1599;81,2;47,6;13,0;4,181;253,49;82,75;1819;32,5;0,00;0,00;0,14;7,70;1,52;4,22;0,00;0;16,07
1679;81,2;47,6;13,3;3,898;246,12;80,75;1828;38,0;0,00;0,00;0,14;6,89;1,56;0,68;0,00;0;13,17
1760;81,2;47,6;14,1;3,621;226,70;75,75;1862;44,3;0,00;0,00;0,14;4,46;1,50;0,62;0,00;0;12,66
1839;81,2;47,6;13,3;4,048;260,27;86,75;1857;47,1;0,00;0,00;0,14;3,66;1,60;0,72;0,00;0;14,20
1919;81,2;47,6;14,1;4,747;249,85;85,75;1912;58,4;0,00;0,00;0,14;6,32;1,64;3,77;0,00;0;14,94
2000;81,2;47,6;13,7;3,802;242,56;82,75;1901;65,5;0,00;0,00;0,14;7,16;1,54;4,65;0,00;0;15,21
2081;81,2;46,9;14,1;3,711;240,18;82,75;1920;71,8;0,00;0,00;0,14;5,55;1,60;0,86;0,00;0;14,92
2161;81,2;46,9;13,0;3,823;248,74;86,75;1943;74,1;0,00;0,00;0,14;4,70;1,54;0,74;0,00;0;14,14
2241;81,2;46,9;14,4;4,288;267,65;93,75;1951;74,1;0,00;0,00;0,14;3,83;1,68;0,74;0,00;0;14,42
2322;81,2;46,9;14,8;4,149;262,39;93,75;1990;74,1;0,00;0,00;0,14;2,95;1,66;0,74;0,00;0;14,46
2403;81,2;46,9;14,8;4,261;270,36;96,75;1993;74,1;0,00;0,00;0,14;2,07;1,64;0,68;0,00;0;14,51
2481;81,2;46,9;14,4;4,219;275,03;99,75;2020;74,1;0,00;0,00;0,14;1,19;1,66;0,64;0,00;0;14,08
2560;81,2;46,1;14,4;3,807;251,12;91,75;2035;74,1;0,00;0,00;0,14;0,31;1,64;0,64;0,00;0;14,08
2639;81,2;46,1;14,1;3,839;259,43;95,75;2056;74,1;0,00;0,00;0,14;0,00;1,70;0,62;0,00;0;14,11
2720;81,2;46,1;13,7;3,743;254,93;94,75;2070;74,1;0,00;0,00;0,14;0,00;1,74;0,62;0,00;0;14,02
2801;81,2;46,1;13,3;4,309;277,65;104,75;2101;74,1;0,00;0,00;0,14;0,00;1,70;0,64;0,00;0;14,27
2878;81,2;46,1;13,0;4,048;264,00;100,75;2125;74,1;0,00;0,00;0,14;0,00;1,76;0,72;0,00;0;14,27
2962;81,2;46,1;12,2;4,737;299,36;114,75;2134;74,1;0,00;0,00;0,14;0,00;1,80;0,66;0,00;0;14,48
3041;81,2;45,4;11,8;4,523;289,02;111,75;2153;74,1;0,00;0,00;0,14;0,00;1,74;0,62;0,00;0;14,48
3119;81,2;45,4;11,8;4,261;275,37;107,75;2179;74,1;0,00;0,00;0,14;0,00;1,70;0,59;0,00;0;13,67
3201;81,2;45,4;11,5;4,277;275,96;108,75;2194;74,1;0,00;0,00;0,14;0,00;1,68;0,59;0,00;0;13,67
3281;81,2;45,4;11,1;4,539;289,44;114,75;2207;74,1;0,00;0,00;0,14;0,00;1,68;0,59;0,00;0;13,83
3361;81,2;45,4;10,7;4,117;267,99;107,75;2239;74,1;0,00;0,00;0,14;0,00;1,80;0,59;0,00;0;13,83
3441;81,2;45,4;10,3;4,560;290,54;117,75;2256;74,1;0,00;0,00;0,14;0,00;1,83;0,61;0,00;0;14,20
3520;81,2;45,4;10,0;4,689;297,49;121,75;2278;74,1;0,00;0,00;0,14;0,00;1,83;0,61;0,00;0;14,20
3602;81,2;44,6;10,0;4,624;294,27;121,75;2303;74,1;0,00;0,00;0,14;0,00;1,85;0,57;0,00;0;13,52
3679;81,2;44,6;9,6;4,705;298,43;123,75;2308;74,1;0,00;0,00;0,14;0,00;1,83;0,57;0,00;0;13,52
3759;81,2;44,6;8,9;4,849;305,72;128,75;2344;74,1;0,00;0,00;0,14;0,00;1,85;0,57;0,00;0;13,48
3842;81,2;44,6;8,5;5,287;329,54;139,75;2360;74,1;0,00;0,00;0,14;0,00;1,85;0,55;0,00;0;13,48
3919;81,2;44,6;8,5;4,779;302,16;128,75;2372;74,1;0,00;0,00;0,14;0,00;1,85;0,55;0,00;0;13,10
4001;81,2;44,6;7,7;4,939;310,55;133,75;2397;74,1;0,00;0,00;0,14;0,00;1,83;0,53;0,00;0;13,10
4080;81,2;43,9;8,1;4,683;298,43;129,75;2420;74,1;0,00;0,00;0,14;0,00;1,99;0,53;0,00;0;12,98
4160;81,2;43,9;7,7;4,859;306,48;134,75;2447;74,1;0,00;0,00;0,14;0,00;1,85;0,55;0,00;0;12,98
4241;81,2;43,9;7,7;5,142;321,91;142,75;2468;74,1;0,00;0,00;0,14;0,00;1,95;0,55;0,00;0;13,10
4319;81,2;43,9;7,7;5,180;322,84;144,75;2495;74,1;0,00;0,00;0,14;0,00;1,95;0,55;0,00;0;13,10
4401;81,2;43,9;7,4;5,522;342,09;153,75;2501;74,1;0,00;0,00;0,14;0,00;1,95;0,53;0,00;0;12,95
4480;81,2;43,9;7,4;5,671;349,97;159,75;2540;74,1;0,00;0,00;0,14;0,00;1,99;0,53;0,00;0;12,95
4559;81,2;43,1;7,7;5,196;322,84;148,75;2564;74,1;0,00;0,00;0,14;0,00;2,03;0,53;0,00;0;12,76
4640;81,2;43,1;7,4;5,634;347,85;160,75;2571;74,1;0,00;0,00;0,14;0,00;2,07;0,53;0,00;0;12,76
4722;81,2;43,1;7,0;5,970;366,50;170,75;2592;74,1;0,00;0,00;0,14;0,00;2,03;0,53;0,00;0;12,86
4798;81,2;43,1;7,4;5,692;349,97;164,75;2619;74,1;0,00;0,00;0,14;0,00;2,05;0,53;0,00;0;12,77
4882;81,2;43,1;7,0;5,847;357,77;170,75;2655;74,1;0,00;0,00;0,14;0,00;2,15;0,53;0,00;0;12,64
