Time (msec);..ECT (°C);..IAT (°C);..IGN (°BTDC);..IPW (ms);..Load (mg/stroke);..MAF (kg/h);..RPM (RPM);..TPS (%);.IACV (%);.IdleFT1 (ms);.LTFT1 (%);.STFT1 (%);.V_MAF (VDC);V_O2_Front #1 (VDC);..Knock (° Cor);Innovate MTS PSB-1 CH3 (PSI);Innovate Wideband AFR (AFR Gasoline)
0;90,2;48,4;13,7;0,929;67,06;10,75;911;0,0;0,60;0,00;0,14;-5,00;0,57;0,92;0,00;0;14,79
81;90,2;48,4;13,3;0,924;66,64;10,75;917;0,0;0,59;0,00;0,14;-5,00;0,59;1,00;0,00;0;14,79
159;90,2;49,1;13,7;0,924;66,72;10,75;916;0,0;0,57;0,00;0,14;-5,00;0,57;1,09;0,00;0;14,85
239;90,2;49,1;14,8;0,934;67,82;10,75;901;0,0;0,55;0,00;0,14;-5,00;0,57;1,15;0,00;0;14,85
319;90,2;49,1;16,3;1,036;74,69;11,75;892;0,0;0,84;0,00;0,14;-5,00;0,61;1,05;0,00;0;14,95
399;90,2;49,1;17,8;1,047;75,79;11,75;879;0,0;0,86;0,00;0,14;-5,00;0,61;0,98;0,00;0;14,95
480;90,2;49,1;17,1;0,956;69,01;10,75;885;0,0;0,87;0,00;0,14;-5,00;0,59;0,90;0,00;0;14,74
559;90,2;49,1;15,2;0,940;67,91;10,75;899;0,0;0,88;0,00;0,14;-5,00;0,55;0,86;0,00;0;14,74
639;90,2;49,1;17,1;0,956;68,84;10,75;887;0,0;0,88;0,00;0,14;-5,00;0,59;0,86;0,00;0;14,64
718;90,2;49,1;17,8;1,143;82,41;12,75;876;0,0;0,89;0,00;0,14;-5,00;0,62;0,88;0,00;0;14,64
798;90,2;49,1;16,3;1,068;74,44;10,75;821;0,0;2,10;0,00;0,14;-5,00;0,59;0,94;0,00;0;14,74
879;90,2;49,1;17,1;1,111;79,01;11,75;843;0,0;1,55;0,00;0,14;-5,00;0,62;1,00;0,00;0;14,74
960;90,2;49,1;17,8;1,073;77,74;11,75;857;0,0;0,98;0,00;0,14;-5,00;0,61;1,05;0,00;0;14,80
1038;90,2;49,1;17,8;1,041;75,71;11,75;880;0,0;0,99;0,00;0,14;-5,00;0,61;1,46;0,00;0;14,80
1119;90,2;49,1;15,9;1,036;74,52;11,75;894;0,0;1,00;0,00;0,14;-4,23;0,62;3,46;0,00;0;14,95
1198;90,2;49,1;14,4;1,025;73,84;11,75;902;0,0;1,00;0,00;0,14;-4,08;0,59;4,67;0,00;0;14,95
1281;90,2;49,1;13,3;1,009;72,66;11,75;917;0,0;0,70;0,00;0,14;-3,94;0,61;4,72;0,00;0;15,19
1359;90,2;49,1;13,3;0,934;66,72;10,75;916;0,0;0,68;0,00;0,14;-3,79;0,59;4,74;0,00;0;15,19
1439;90,2;49,1;14,4;0,945;67,32;10,75;907;0,0;0,65;0,00;0,14;-3,64;0,61;4,76;0,00;0;15,17
1519;90,2;49,1;13,7;1,025;73,17;11,75;911;0,0;0,65;0,00;0,14;-3,50;0,61;4,76;0,00;0;14,88
1599;90,2;49,1;17,8;0,972;69,01;10,75;885;0,0;0,93;0,00;0,14;-3,35;0,57;4,74;0,00;0;14,88
1679;90,2;49,1;16,3;0,967;68,33;10,75;894;0,0;0,94;0,00;0,14;-3,20;0,59;4,08;0,00;0;14,85
1760;90,2;49,1;16,7;1,052;74,61;11,75;893;0,0;0,95;0,00;0,14;-3,06;0,57;3,10;0,00;0;14,79
1839;90,2;49,1;17,8;0,983;69,27;10,75;882;0,0;0,96;0,00;0,14;-2,91;0,57;2,44;0,00;0;14,76
1919;90,2;49,1;16,7;1,052;74,61;11,75;893;0,0;0,97;0,00;0,14;-2,76;0,61;2,46;0,00;0;14,77
1999;90,2;49,1;16,7;0,977;68,42;10,75;893;0,0;0,98;0,00;0,14;-2,62;0,61;3,28;0,00;0;14,88
2078;90,2;49,1;14,4;1,041;73,84;11,75;902;0,0;0,69;0,00;0,14;-2,47;0,61;4,33;0,00;0;14,86
2159;90,2;49,1;15,2;0,967;67,99;10,75;898;0,0;0,98;0,00;0,14;-2,32;0,61;4,72;0,00;0;14,91
2238;90,2;49,1;14,4;0,967;67,74;10,75;902;0,0;0,69;0,00;0,14;-2,18;0,57;4,78;0,00;0;14,98
2319;90,9;49,1;15,6;1,063;74,44;11,75;895;0,0;0,99;0,00;0,14;-2,03;0,61;4,78;0,00;0;15,01
2398;90,9;49,1;16,7;1,164;81,30;12,75;888;0,0;0,99;0,00;0,14;-1,88;0,61;4,80;0,00;0;15,05
2478;90,9;49,1;15,2;0,972;67,99;10,75;898;0,0;1,00;0,00;0,14;-1,74;0,59;4,82;0,00;0;15,10
2559;90,9;49,1;14,1;0,967;67,48;10,75;905;0,0;0,71;0,00;0,14;-1,59;0,59;4,82;0,00;0;15,07
2640;90,9;49,1;15,9;1,068;74,61;11,75;893;0,0;0,99;0,00;0,14;-1,45;0,59;4,82;0,00;0;14,96
2720;90,9;49,1;16,7;0,993;68,84;10,75;887;0,0;1,00;0,00;0,14;-1,30;0,61;4,82;0,00;0;14,96
2799;90,2;49,1;17,1;0,999;69,10;10,75;884;0,0;1,01;0,00;0,14;-1,15;0,57;4,82;0,00;0;14,86
2879;90,2;49,1;16,3;0,908;62,40;9,75;890;0,0;1,02;0,00;0,14;-1,01;0,55;4,80;0,00;0;14,86
2959;90,2;49,1;15,2;0,902;61,80;9,75;898;0,0;1,03;0,00;0,14;-0,86;0,57;4,33;0,00;0;14,83
3039;90,2;49,1;17,8;1,105;76,47;11,75;871;0,0;1,04;0,00;0,14;-0,71;0,59;2,64;0,00;0;14,83
3120;90,2;49,1;17,4;1,239;85,12;12,75;848;0,0;1,35;0,00;0,14;-0,92;0,62;1,95;0,00;0;14,77
3201;90,2;49,1;17,4;1,121;77,91;11,75;855;0,0;1,08;0,00;0,14;-1,07;0,59;1,85;0,00;0;14,80
3279;90,9;49,1;17,8;1,004;69,69;10,75;876;0,0;1,10;0,00;0,14;-1,21;0,61;1,80;0,00;0;14,83
3359;90,9;49,1;16,7;1,079;75,12;11,75;887;0,0;1,10;0,00;0,14;-1,36;0,61;1,64;0,00;0;14,83
3439;90,9;49,1;14,8;0,972;67,82;10,75;901;0,0;1,11;0,00;0,14;-1,50;0,59;1,76;0,00;0;14,92
3518;90,9;49,1;13,7;1,041;73,17;11,75;911;0,0;0,81;0,00;0,14;-1,65;0,61;1,64;0,00;0;14,92
3599;90,9;49,1;16,7;0,983;68,59;10,75;890;0,0;1,09;0,00;0,14;-1,80;0,59;1,29;0,00;0;14,80
3678;90,9;49,1;14,4;1,047;73,84;11,75;902;0,0;1,10;0,00;0,14;-1,94;0,61;0,96;0,00;0;14,80
3759;90,9;49,1;15,9;0,983;68,50;10,75;892;0,0;1,10;0,00;0,14;-2,09;0,59;0,84;0,00;0;14,45
