Time (msec);..ECT (°C);..IAT (°C);..IGN (°BTDC);..IPW (ms);..Load (mg/stroke);..MAF (kg/h);..RPM (RPM);..TPS (%);.IACV (%);.IdleFT1 (ms);.LTFT1 (%);.STFT1 (%);.V_MAF (VDC);V_O2_Front #1 (VDC);..Knock (° Cor);Innovate MTS PSB-1 CH3 (PSI);Innovate Wideband AFR (AFR Gasoline)
0;85,0;46,1;13,0;0,993;65,45;10,75;933;0,4;0,34;0,00;0,14;4,30;0,57;4,84;0,00;0;14,98
82;85,0;46,1;12,2;0,999;65,28;10,75;936;0,4;0,30;0,00;0,14;4,44;0,57;4,82;0,00;0;14,89
162;85,0;46,1;13,0;1,089;71,64;11,75;930;0,4;0,27;0,00;0,14;4,59;0,59;3,75;0,00;0;14,89
242;85,0;46,1;13,0;0,999;65,79;10,75;928;0,4;0,25;0,00;0,14;3,79;0,59;1,72;0,00;0;14,63
323;85,0;46,1;13,0;0,908;59,69;9,75;930;0,4;0,21;0,00;0,14;3,64;0,55;1,17;0,00;0;14,63
401;85,0;46,1;12,2;0,902;59,43;9,75;934;0,4;0,18;0,00;0,14;3,50;0,57;0,98;0,00;0;14,55
481;85,0;46,1;16,7;1,036;68,42;10,75;893;0,4;0,47;0,00;0,14;3,35;0,59;0,88;0,00;0;14,55
561;85,0;46,1;18,2;1,137;75,79;11,75;879;0,4;0,48;0,00;0,14;3,20;0,59;0,84;0,00;0;14,45
642;85,0;46,1;16,3;1,116;74,52;11,75;894;0,4;0,49;0,00;0,14;3,06;0,62;0,80;0,00;0;14,45
721;85,0;46,1;14,4;1,009;67,23;10,75;909;0,4;0,19;0,00;0,14;2,91;0,57;0,80;0,00;0;14,51
802;85,0;46,1;13,3;1,073;72,23;11,75;923;0,4;0,17;0,00;0,14;2,76;0,61;0,84;0,00;0;14,54
882;85,0;46,1;13,0;0,902;59,85;9,75;927;0,4;0,13;0,00;0,14;2,62;0,55;0,98;0,00;0;14,55
961;85,0;46,1;12,6;0,977;65,45;10,75;933;0,4;0,10;0,00;0,14;2,47;0,59;1,50;0,00;0;14,71
1043;85,0;46,1;4,0;1,212;80,54;12,75;896;2,0;0,39;0,00;0,14;3,21;0,68;3,59;0,00;0;14,83
1122;85,0;46,1;4,0;1,527;101,06;15,75;879;2,4;0,00;0,00;0,14;3,32;0,72;4,14;0,00;0;14,89
1202;85,0;46,1;4,0;1,634;107,50;16,75;878;2,7;0,00;0,00;0,14;3,43;0,76;1,66;0,00;0;14,89
1281;85,0;46,1;4,7;1,565;104,79;16,75;901;3,1;0,00;0,00;0,14;2,17;0,80;1,11;0,00;0;14,71
1361;85,0;46,1;5,5;1,479;99,45;16,75;949;3,1;0,00;0,00;0,14;1,98;0,76;1,48;0,00;0;14,73
1440;85,0;46,1;6,2;1,522;99,79;17,75;1002;3,1;0,00;0,00;0,14;4,45;0,78;3,83;0,00;0;14,98
1523;85,0;46,1;7,0;1,287;85,63;16,75;1102;3,1;0,00;0,00;0,14;3,45;0,78;1,07;0,00;0;14,94
1602;85,0;46,1;7,7;1,303;87,49;19,75;1269;3,5;0,00;0,00;0,14;3,21;0,82;0,72;0,00;0;14,17
1684;85,0;46,1;8,5;1,234;83,42;19,75;1331;3,9;0,00;0,00;0,14;2,97;0,80;0,66;0,00;0;13,63
1761;85,0;46,1;8,9;1,207;81,22;18,75;1299;4,3;0,00;0,00;0,14;2,75;0,84;0,64;0,00;0;13,41
1842;85,0;46,1;8,1;1,581;106,48;22,75;1200;5,5;0,00;0,00;0,14;2,52;0,90;0,66;0,00;0;13,74
1922;85,0;46,1;8,5;1,725;116,40;25,75;1241;5,5;0,00;0,00;0,14;2,24;0,92;0,86;0,00;0;14,58
2002;85,0;46,1;9,6;1,773;116,83;27,75;1331;5,9;0,00;0,00;0,14;5,22;0,94;4,47;0,00;0;14,58
2081;85,0;46,1;10,7;1,858;121,74;27,75;1277;5,9;0,00;0,00;0,14;5,52;0,98;4,72;0,00;0;15,89
2161;85,0;46,1;11,8;1,805;117,51;25,75;1229;5,9;0,00;0,00;0,14;5,85;0,92;4,76;0,00;0;15,89
2241;85,0;46,1;12,6;1,687;110,30;25,75;1309;5,9;0,00;0,00;0,14;6,18;0,96;4,78;0,00;0;15,24
2327;85,0;46,1;13,7;1,965;127,85;28,75;1260;5,9;0,00;0,00;0,14;6,47;0,96;4,80;0,00;0;15,24
2412;85,0;46,1;14,8;1,757;113,44;25,75;1273;5,9;0,00;0,00;0,14;6,89;0,94;4,80;0,00;0;14,91
2492;85,0;46,1;15,9;1,714;111,06;25,75;1300;5,9;0,00;0,00;0,14;7,22;0,94;4,80;0,00;0;14,92
2571;85,0;46,1;16,7;1,794;115,30;25,75;1252;5,9;0,00;0,00;0,14;7,53;0,96;4,82;0,00;0;15,08
2652;85,0;46,1;17,1;1,741;111,91;25,75;1290;5,9;0,00;0,00;0,14;7,86;1,02;4,82;0,00;0;15,08
2732;85,0;46,1;17,4;1,869;119,79;27,75;1298;5,9;0,00;0,00;0,14;8,19;1,00;4,84;0,00;0;15,08
2815;85,0;46,1;17,1;1,853;118,01;26,75;1271;5,9;0,00;0,00;0,14;8,52;0,98;4,84;0,00;0;15,08
2894;85,0;46,1;17,4;1,736;110,47;25,75;1307;5,9;0,00;0,00;0,14;8,84;0,94;4,84;0,00;0;15,16
2972;85,0;46,1;17,1;1,773;112,50;25,75;1284;5,9;0,00;0,00;0,14;9,13;0,94;4,84;0,00;0;15,16
3052;85,0;46,1;17,1;1,912;120,64;27,75;1289;5,9;0,00;0,00;0,14;9,43;0,98;4,37;0,00;0;14,67
3132;85,0;46,1;17,4;1,746;110,21;25,75;1310;5,9;0,00;0,00;0,14;9,76;0,98;3,26;0,00;0;14,67
3211;85,0;46,1;17,4;1,762;110,89;25,75;1302;5,9;0,00;0,00;0,14;10,07;0,90;4,76;0,00;0;15,16
3292;85,0;46,1;17,1;1,757;110,30;25,75;1309;5,9;0,00;0,00;0,14;10,37;0,96;4,82;0,00;0;15,16
3371;85,0;46,1;17,4;1,965;123,27;28,75;1307;5,9;0,00;0,00;0,14;10,66;1,00;4,84;0,00;0;14,98
3450;85,0;46,1;17,8;1,949;121,83;28,75;1322;5,9;0,00;0,00;0,14;10,99;0,98;4,82;0,00;0;14,98
3531;85,0;46,1;17,8;2,029;126,75;29,75;1315;5,9;0,00;0,00;0,14;11,32;0,98;4,82;0,00;0;14,99
3613;85,0;46,1;17,4;1,896;117,76;27,75;1321;5,9;0,00;0,00;0,14;11,65;0,98;4,82;0,00;0;14,99
3691;85,0;46,1;17,8;1,821;112,67;26,75;1331;5,9;0,00;0,00;0,14;11,98;0,96;1,99;0,00;0;14,42
3770;85,0;46,1;17,8;1,933;121,83;28,75;1322;5,9;0,00;0,00;0,14;10,08;1,00;1,02;0,00;0;14,42
3853;85,0;46,1;17,8;1,773;112,25;26,75;1336;5,9;0,00;0,00;0,14;9,75;0,94;0,84;0,00;0;14,17
3932;85,0;46,1;17,8;1,757;111,82;26,75;1341;5,9;0,00;0,00;0,14;9,45;0,98;0,82;0,00;0;14,17
4012;85,0;46,1;17,8;1,842;116,83;27,75;1331;5,9;0,00;0,00;0,14;9,14;1,02;0,76;0,00;0;14,21
4092;85,0;46,1;17,8;1,741;111,32;26,75;1347;5,9;0,00;0,00;0,14;8,81;0,96;0,72;0,00;0;14,21
4171;85,0;46,1;17,8;1,671;107,16;25,75;1347;5,9;0,00;0,00;0,14;8,51;0,96;0,74;0,00;0;14,27
4253;85,0;46,1;17,8;1,736;111,23;26,75;1348;5,9;0,00;0,00;0,14;8,22;0,98;0,74;0,00;0;14,27
4331;85,0;46,1;18,2;1,842;118,95;28,75;1354;5,9;0,00;0,00;0,14;7,93;0,98;0,74;0,00;0;14,36
4411;85,0;46,1;18,2;1,832;118,52;28,75;1359;5,9;0,00;0,00;0,14;7,60;0,98;0,76;0,00;0;14,36
4491;85,0;46,1;18,2;1,762;114,45;27,75;1359;5,9;0,00;0,00;0,14;7,27;0,98;0,78;0,00;0;14,57
4570;85,0;46,1;18,2;1,885;122,68;29,75;1358;5,9;0,00;0,00;0,14;6,95;1,02;0,80;0,00;0;14,57
4652;85,0;46,1;18,2;1,613;105,21;25,75;1373;5,9;0,00;0,00;0,14;6,64;0,96;0,80;0,00;0;14,55
4730;85,0;46,1;18,2;1,682;109,96;26,75;1364;5,9;0,00;0,00;0,14;6,34;0,98;0,78;0,00;0;14,48
4812;85,0;46,1;18,2;1,784;117,00;28,75;1377;5,9;0,00;0,00;0,14;6,05;1,00;0,76;0,00;0;14,39
4891;85,0;46,1;18,5;1,773;116,66;28,75;1381;5,9;0,00;0,00;0,14;5,73;0,98;0,78;0,00;0;14,36
4973;85,0;46,1;18,2;1,714;113,27;27,75;1373;5,9;0,00;0,00;0,14;5,40;0,96;0,84;0,00;0;14,49
5050;85,0;46,1;18,5;1,816;120,30;29,75;1385;5,9;0,00;0,00;0,14;5,07;1,00;0,88;0,00;0;14,76
5131;85,0;46,1;18,5;1,741;115,64;28,75;1393;5,9;0,00;0,00;0,14;4,74;1,00;0,80;0,00;0;14,73
5211;85,0;46,1;18,5;1,629;108,43;26,75;1383;5,9;0,00;0,00;0,14;4,43;1,00;0,74;0,00;0;14,35
5291;85,0;46,1;18,5;1,784;119,12;29,75;1399;5,9;0,00;0,00;0,14;4,13;1,00;0,72;0,00;0;14,24
5370;85,0;46,1;18,9;1,832;122,93;30,75;1401;5,9;0,00;0,00;0,14;3,79;1,00;0,74;0,00;0;14,20
5452;85,0;46,1;18,5;1,602;107,50;26,75;1395;5,9;0,00;0,00;0,14;3,46;0,96;0,82;0,00;0;14,44
5532;85,0;46,1;18,9;1,575;106,65;26,75;1406;5,9;0,00;0,00;0,14;3,16;0,96;0,80;0,00;0;14,58
5612;85,0;46,1;18,9;1,511;102,41;25,75;1410;5,9;0,00;0,00;0,14;2,85;0,98;0,74;0,00;0;14,49
